measure_name,location_id,location_name,cause_id,metric_name,val,upper,lower
Prevalence,59,Latvia,509,Number,119802.398,137580.7945,104754.0434
Prevalence,59,Latvia,509,Percent,0.064063715,0.073509854,0.05600617
Prevalence,59,Latvia,509,Rate,6158.153249,7072.008831,5384.628887
Prevalence,22,Fiji,509,Number,25721.76464,29084.81967,22608.18609
Prevalence,22,Fiji,509,Percent,0.029321762,0.033148908,0.025718225
Prevalence,22,Fiji,509,Rate,2836.108242,3206.922152,2492.801867
Prevalence,114,Haiti,509,Number,264279.7718,299372.753,233259.0761
Prevalence,114,Haiti,509,Percent,0.022827777,0.025835819,0.020158146
Prevalence,114,Haiti,509,Rate,2234.955209,2531.72874,1972.62009
Prevalence,23,Kiribati,509,Number,3688.113442,4154.357233,3250.706207
Prevalence,23,Kiribati,509,Percent,0.0318611,0.03583306,0.028063111
Prevalence,23,Kiribati,509,Rate,3119.161099,3513.479094,2749.231146
Prevalence,41,Uzbekistan,509,Number,750869.6387,844616.4703,662679.0729
Prevalence,41,Uzbekistan,509,Percent,0.02429083,0.027302688,0.021414142
Prevalence,41,Uzbekistan,509,Rate,2329.224434,2620.030454,2055.65415
Prevalence,189,Tanzania,509,Number,584026.384,660610.5369,514513.4805
Prevalence,189,Tanzania,509,Percent,0.011133818,0.012610574,0.009796944
Prevalence,189,Tanzania,509,Rate,1082.068653,1223.961748,953.2769822
Prevalence,97,Argentina,509,Number,1804327.316,2049117.225,1574400.04
Prevalence,97,Argentina,509,Percent,0.043837396,0.049706325,0.038385171
Prevalence,97,Argentina,509,Rate,4076.110372,4629.109086,3556.687456
Prevalence,78,Denmark,509,Number,367973.3274,419708.3435,319999.2489
Prevalence,78,Denmark,509,Percent,0.067457861,0.076684763,0.058644616
Prevalence,78,Denmark,509,Rate,6419.320865,7321.841901,5582.409655
Prevalence,133,Venezuela,509,Number,1075917.619,1223026.247,942676.3996
Prevalence,133,Venezuela,509,Percent,0.036366441,0.041392058,0.03184668
Prevalence,133,Venezuela,509,Rate,3489.642762,3966.776467,3057.48676
Prevalence,151,Qatar,509,Number,72720.50766,84120.62249,61997.60241
Prevalence,151,Qatar,509,Percent,0.027569415,0.031812093,0.023588093
Prevalence,151,Qatar,509,Rate,2646.970535,3061.925944,2256.665033
Prevalence,169,Central African Republic,509,Number,84182.58727,95376.46096,74079.03452
Prevalence,169,Central African Republic,509,Percent,0.018435548,0.020883321,0.016252713
Prevalence,169,Central African Republic,509,Rate,1821.142558,2063.302373,1602.569924
Prevalence,60,Lithuania,509,Number,177959.9781,202794.6,155510.3614
Prevalence,60,Lithuania,509,Percent,0.064887388,0.073944512,0.056727831
Prevalence,60,Lithuania,509,Rate,6249.368668,7121.478845,5461.012025
Prevalence,6,China,509,Number,66537069.28,73533288.1,59950003.12
Prevalence,6,China,509,Percent,0.049053902,0.054117828,0.044208551
Prevalence,6,China,509,Rate,4710.654374,5205.968777,4244.306932
Prevalence,207,Ghana,509,Number,642279.1787,721351.0406,569095.5471
Prevalence,207,Ghana,509,Percent,0.021856671,0.0245829,0.019369232
Prevalence,207,Ghana,509,Rate,2126.379658,2388.161146,1884.092207
Prevalence,115,Jamaica,509,Number,74209.03339,84250.60684,64998.57316
Prevalence,115,Jamaica,509,Percent,0.027628982,0.031317487,0.02422124
Prevalence,115,Jamaica,509,Rate,2670.096566,3031.399895,2338.697313
Prevalence,305,Bermuda,509,Number,3096.691376,3539.148501,2699.043915
Prevalence,305,Bermuda,509,Percent,0.048632242,0.055556727,0.042374247
Prevalence,305,Bermuda,509,Rate,4700.069591,5371.61836,4096.53165
Prevalence,99,Uruguay,509,Number,180781.388,205677.8011,158444.0199
Prevalence,99,Uruguay,509,Percent,0.056470979,0.064142821,0.049610937
Prevalence,99,Uruguay,509,Rate,5283.639437,6011.27889,4630.792371
Prevalence,24,Marshall Islands,509,Number,1495.828343,1695.955351,1321.177041
Prevalence,24,Marshall Islands,509,Percent,0.027313096,0.031021788,0.024108917
Prevalence,24,Marshall Islands,509,Rate,2656.386311,3011.784474,2346.229514
Prevalence,7,North Korea,509,Number,2468089.905,2749618.205,2194484.017
Prevalence,7,North Korea,509,Percent,0.098912954,0.110006373,0.088011672
Prevalence,7,North Korea,509,Rate,9597.247302,10691.97919,8533.321972
Prevalence,152,Saudi Arabia,509,Number,663019.3809,755788.8286,577648.2302
Prevalence,152,Saudi Arabia,509,Percent,0.020001877,0.022809974,0.017420673
Prevalence,152,Saudi Arabia,509,Rate,1924.916815,2194.250525,1677.062275
Prevalence,153,Syria,509,Number,556809.5167,625807.8919,487466.5997
Prevalence,153,Syria,509,Percent,0.032230432,0.036262427,0.02829788
Prevalence,153,Syria,509,Rate,3071.003085,3451.553735,2688.552165
Prevalence,170,Congo,509,Number,79478.12499,90325.12787,70107.62441
Prevalence,170,Congo,509,Percent,0.016530148,0.018744674,0.014602273
Prevalence,170,Congo,509,Rate,1617.686834,1838.465239,1426.960952
Prevalence,135,Brazil,509,Number,8891894.912,9840751.874,8052461.903
Prevalence,135,Brazil,509,Percent,0.043461387,0.048041963,0.039336138
Prevalence,135,Brazil,509,Rate,4197.998801,4645.968601,3801.689712
Prevalence,25,Federated States of Micronesia,509,Number,3431.019618,3855.967068,3030.902878
Prevalence,25,Federated States of Micronesia,509,Percent,0.033873046,0.038133208,0.02989189
